Date,IVV,EEM,XLU,VOO,VTI,XLRE,XLK,XLI,XLY,AOR,XLV,XLP,FBND,XLB,VT,XLF,SPY,XLE,TDVG,AOA
2008-07-30,93.57918548583984,30.576627731323242,21.04888916015625,,47.156654357910156,,17.734466552734375,25.28116798400879,23.015602111816406,,23.769229888916016,17.558082580566406,,28.036617279052734,33.85702133178711,12.839665412902832,93.48631286621094,45.333038330078125,,
2008-07-31,92.40815734863281,29.89141082763672,20.824676513671875,,46.62227249145508,,17.63191795349121,24.509004592895508,22.863346099853516,,23.791566848754883,17.286792755126953,,27.829853057861328,33.516361236572266,12.722025871276855,92.24978637695312,43.47483444213867,,
2008-08-01,91.87723541259766,29.688629150390625,20.22858428955078,,46.41730499267578,,17.4346981048584,24.48756217956543,22.638961791992188,,23.612852096557617,17.2552547454834,,27.326745986938477,33.32170486450195,12.722025871276855,91.76248168945312,43.4690055847168,,
2008-08-04,91.0189437866211,28.77965545654297,20.00984001159668,,46.02934646606445,,17.521465301513672,24.380313873291016,22.80724334716797,,23.81390380859375,17.412979125976562,,26.141319274902344,32.835052490234375,12.61616039276123,90.9114761352539,41.423805236816406,,
2008-08-05,93.57193756103516,29.150232315063477,20.173892974853516,,47.20790481567383,,17.85280418395996,25.059524536132812,23.824996948242188,,24.588346481323242,17.715803146362305,,26.444568634033203,33.641502380371094,13.257255554199219,93.3626480102539,41.733489990234375,,
2008-08-06,94.06649017333984,29.730587005615234,20.283273696899414,,47.26646041870117,,18.105260848999023,25.538557052612305,23.70479965209961,,24.68515968322754,17.90508460998535,,26.706466674804688,33.86397171020508,13.121983528137207,93.77729034423828,42.68597412109375,,
2008-08-07,92.48092651367188,28.709733963012695,20.266864776611328,,46.5930061340332,,18.073701858520508,24.680599212646484,23.2399959564209,,24.387285232543945,17.558082580566406,,26.623767852783203,33.09227752685547,12.475000381469727,92.38074493408203,42.18927764892578,,
2008-08-08,94.43743896484375,28.77965545654297,20.3270206451416,,47.58123016357422,,18.420814514160156,25.531414031982422,24.345895767211914,,24.811742782592773,17.924007415771484,,26.51348304748535,33.530277252197266,12.904362678527832,94.0972671508789,41.47641372680664,,
2008-08-11,95.19386291503906,28.478988647460938,20.551244735717773,,48.05702590942383,,18.53915023803711,25.59574317932129,25.091175079345703,,24.834081649780273,18.08173370361328,,26.547945022583008,33.73188018798828,13.121983528137207,95.07196044921875,41.4588623046875,,
2008-08-12,94.2047119140625,28.241260528564453,20.310609817504883,,47.52997970581055,,18.578598022460938,25.345508575439453,24.762615203857422,,24.78194808959961,18.20792007446289,,26.76849365234375,33.26609420776367,12.457353591918945,94.08274841308594,41.482234954833984,,
2008-08-13,93.86285400390625,28.23426628112793,20.310609817504883,,47.4201774597168,,18.50758934020996,25.252567291259766,24.361915588378906,,24.796842575073242,18.024951934814453,,27.3474178314209,32.89761734008789,12.098573684692383,93.51541137695312,42.948936462402344,,
2008-08-14,94.37925720214844,28.604841232299805,20.1356201171875,,47.6690673828125,,18.64959144592285,25.345508575439453,24.730552673339844,,24.78194808959961,18.106969833374023,,27.292287826538086,33.043617248535156,12.475000381469727,94.22093963623047,42.160072326660156,,
2008-08-15,94.76471710205078,28.157363891601562,20.206710815429688,,47.94723892211914,,18.720596313476562,25.48851203918457,25.019058227539062,,25.027694702148438,18.28362464904785,,27.119983673095703,33.015811920166016,12.56322193145752,94.6791763305664,41.371212005615234,,
2008-08-18,93.49188995361328,27.681873321533203,20.234050750732422,,47.2444953918457,,18.483922958374023,25.2025146484375,24.594331741333008,,24.819190979003906,18.20792007446289,,26.871875762939453,32.466590881347656,12.080928802490234,93.3844985961914,40.845314025878906,,
2008-08-19,92.55366516113281,27.451152801513672,20.343429565429688,,46.74673080444336,,18.160476684570312,24.887939453125,24.137542724609375,,24.707489013671875,17.961864471435547,,26.706466674804688,32.188499450683594,11.72803020477295,92.3661880493164,42.31200408935547,,
2008-08-20,93.07003021240234,28.150358200073242,20.41999053955078,,46.91508865356445,,18.199926376342773,24.687740325927734,23.841032028198242,,24.551111221313477,17.968170166015625,,27.17511749267578,32.48048400878906,11.969176292419434,92.79531860351562,43.53327560424805,,
2008-08-21,93.2591552734375,28.10840606689453,20.616865158081055,,47.0395393371582,,18.12891960144043,24.74494743347168,24.033355712890625,,24.394731521606445,17.77259635925293,,27.409448623657227,32.73076248168945,11.751553535461426,92.95536804199219,44.62598419189453,,
2008-08-22,94.36470794677734,28.087430953979492,20.69889259338379,,47.6983528137207,,18.38136863708496,25.231109619140625,24.594331741333008,,24.80430030822754,18.09435272216797,,27.395668029785156,32.904579162597656,12.198565483093262,94.30094146728516,43.60338592529297,,
2008-08-25,92.62635803222656,27.5070743560791,20.480140686035156,,46.695472717285156,,18.144699096679688,24.837890625,23.905134201049805,,24.40218734741211,17.80413818359375,,26.802955627441406,32.29973602294922,11.769198417663574,92.38799285888672,43.036582946777344,,
2008-08-26,92.83729553222656,27.556026458740234,20.70436668395996,,46.849205017089844,,18.073701858520508,24.830739974975586,24.089460372924805,,24.37240219116211,17.734737396240234,,26.947694778442383,32.466590881347656,11.863309860229492,92.65714263916016,43.91307830810547,,
2008-08-27,93.62281799316406,28.14336585998535,20.85202407836914,,47.163978576660156,,18.247262954711914,24.90222930908203,24.161577224731445,,24.409635543823242,17.816753387451172,,27.195796966552734,32.50830078125,12.092691421508789,93.55905151367188,44.60844802856445,,
2008-08-28,94.95384979248047,28.339141845703125,20.88482666015625,,47.93259811401367,,18.357696533203125,25.45990753173828,24.722545623779297,,24.551111221313477,17.930322647094727,,27.581750869750977,33.196563720703125,12.58087158203125,94.69367980957031,43.82542419433594,,
2008-08-29,93.78282165527344,28.003528594970703,20.594993591308594,,47.30305099487305,,17.947481155395508,25.181074142456055,24.442058563232422,,24.283048629760742,17.753658294677734,,27.395668029785156,32.89761734008789,12.59851360321045,93.67540740966797,43.620906829833984,,
2008-09-02,93.35371398925781,27.157470703125,20.343429565429688,,47.10541534423828,,17.84492301940918,25.188213348388672,24.922887802124023,,24.238357543945312,17.94925308227539,,26.706466674804688,31.97994613647461,12.774959564208984,93.09355163574219,41.225120544433594,,
2008-09-03,93.28822326660156,26.709983825683594,20.020774841308594,,47.017578125,,17.608253479003906,25.002328872680664,25.051111221313477,,24.37984275817871,17.816753387451172,,26.568635940551758,32.09117126464844,12.97494125366211,93.01353454589844,41.067359924316406,,
2008-09-04,90.40071105957031,25.479354858398438,19.76921844482422,,45.575504302978516,,16.977128982543945,24.14436912536621,24.21767807006836,,23.843698501586914,17.703187942504883,,25.62443733215332,30.909297943115234,12.339722633361816,90.21324157714844,40.14410400390625,,
2008-09-05,90.8371353149414,25.842952728271484,19.353599548339844,,45.846343994140625,,16.977128982543945,24.13722038269043,24.265764236450195,,23.717105865478516,17.867219924926758,,25.651994705200195,30.707687377929688,12.786728858947754,90.49688720703125,39.98048400878906,,
2008-09-08,92.70639038085938,26.16459083557129,19.840307235717773,,46.644229888916016,,17.18223762512207,24.523298263549805,25.36363983154297,,24.111772537231445,18.245773315429688,,25.603748321533203,31.57671356201172,13.33960247039795,92.3661880493164,39.705841064453125,,
