Date,SPY,EFA,AGG,VNQ,GSG,FXE,EEM,GLD,TIP,LQD,USO,UNG,HYG,IWM,QQQ
2003-09-10,67.6738052368164,20.92206573486328,,,,,10.040902137756348,,,109.47000122070312,,,,37.44800567626953,28.169498443603516
2003-09-11,67.87296295166016,21.03884506225586,,,,,10.02927303314209,,,108.9000015258789,,,,37.772727966308594,28.482769012451172
2003-09-12,67.99907684326172,21.128677368164062,,,,,10.100491523742676,,,109.69999694824219,,,,37.93996810913086,28.635154724121094
2003-09-15,67.76011657714844,21.18976593017578,,,,,9.951508522033691,,,109.73999786376953,,,,37.846412658691406,28.355762481689453
2003-09-16,68.74905395507812,21.399974822998047,,,,,10.156455039978027,,,109.9800033569336,,,,38.41136169433594,29.126249313354492
2003-09-17,68.61630249023438,21.540115356445312,,,,,10.1128511428833,,,110.6500015258789,,,,38.400146484375,29.007719039916992
2003-09-18,69.42608642578125,21.766489028930664,,,,,10.229131698608398,,,110.5,,,,38.80044174194336,29.447982788085938
2003-09-19,69.07292175292969,21.685646057128906,,,,,10.181892395019531,,,110.61000061035156,,,,38.75927734375,29.27865982055664
2003-09-22,68.32669067382812,21.44129753112793,,,,,10.015464782714844,,,110.19999694824219,,,,38.228031158447266,28.71984100341797
2003-09-23,68.5865478515625,21.489803314208984,,,,,10.040176391601562,,,110.36000061035156,,,,38.748069763183594,29.227859497070312
2003-09-24,67.36727905273438,21.38559913635254,,,,,10.058341979980469,,,110.77999877929688,,,,37.790306091308594,28.127153396606445
2003-09-25,66.81423950195312,21.1107177734375,,,,,9.909358978271484,,,111.16000366210938,,,,36.76893997192383,27.763071060180664
2003-09-26,66.5943832397461,21.020883560180664,,,,,9.840312957763672,,,111.8499984741211,,,,36.14042663574219,27.58527183532715
2003-09-29,67.24732971191406,21.290376663208008,50.9034309387207,,,,9.910082817077637,,,111.55000305175781,,,,36.787662506103516,28.059417724609375
2003-09-30,66.5943832397461,21.020883560180664,51.16748046875,,,,9.878835678100586,,,112.29000091552734,,,,36.308780670166016,27.44979476928711
2003-10-01,68.01358795166016,21.710796356201172,51.14254379272461,,,,10.138288497924805,,,111.87999725341797,,,,37.288970947265625,28.06789207458496
2003-10-02,68.26010131835938,21.676660537719727,51.062828063964844,,,,10.283638954162598,,,111.44999694824219,,,,37.64813232421875,28.161027908325195
2003-10-03,68.8863754272461,21.992870330810547,50.69416046142578,,,,10.38538932800293,,,109.9000015258789,,,,38.24300003051758,28.948442459106445
2003-10-06,69.19951629638672,22.222843170166016,50.76890182495117,,,,10.425355911254883,,,110.01000213623047,,,,38.572227478027344,29.160125732421875
